Name,Severity,Description,Family,URI,Attachments
Web Application Sitemap,info,"Publishes the sitemap of the web application as seen by the scan.

The list of all URLs that have been detected during the scan are available as an attachment. For each URL in the sitemap, the following information is provided:

- The first time the URL is detected - The logic used to detect the URL. This information may be found by: crawling rendering the page by a specific plugin - The parent URL requested to detect the URL - If the URL has been requested at least once, information about the response - Whether or not the URL has been queued for audit - If the URL has not been queued for audit, the reason why the URL does not need an audit - Whether or not the URL has been effectively audited - If the URL has not been effectively audited, the reason that the scanner was unable to audit the URL


Reasons for not adding a URL to the audit queue are as follows:

- not_in_domain: The domain of the URL does not match main target URL - scope_configuration: The URL does not match scope include list scan settings - directory_depth: The number of directories in the URL path exceeds the scan configuration setting - exclude_file_extension: The URL file extension matched one entry of the file extension blacklist setting - exclude_path_patterns: The URL matched one entry of the URL exclusion blacklist setting - redundant_path: The number of URLs to be audited with the same path and query string parameters has been reached - request_redirect_limit: The number of HTTP redirects allowed per scan configuration setting has been reached - queue_full: The number of URLs to audit has been reached


If a scan fails to audit a URL that has been queued for audit, reasons for the failure are as follows:

- timeout: The request timed out when trying to retrieve URL contents - filesize_exceeded: URL response exceeded file size limit defined in the scan configuration - scan_timelimit_reached: The URL couldn’t be audited before the scan time limit - user_abort: The user stopped the scan before the URL could be audited",General,https://<REACTED>-staging1-app.<REACTED>.com,https://cloud.tenable.com/was/v2/attachments/b10b5886-7d65-4696-bb68-846a3de49189
Interesting Response,info,"The scanner identified some responses with a status code other than the usual 200 (OK), 301 (Moved Permanently), 302 (Found) and 404 (Not Found) codes. These codes can provide useful insights into the behavior of the web application and identify any unexpected responses to be addressed.",Web Applications,https://<REACTED>-staging1-app.<REACTED>.com/.htaccess,"https://cloud.tenable.com/was/v2/attachments/79dc03ca-86b6-485e-8aec-f0369edfcf65, https://cloud.tenable.com/was/v2/attachments/5548019a-7918-49e7-865a-5aff5fb8c640"
Missing 'X-XSS-Protection' Header (deprecated),info,"The HTTP 'X-XSS-Protection' response header is a feature of old browsers that allows websites to control their XSS auditors.\n\nThe server is not configured to return a 'X-XSS-Protection' header which means that any pages on this website could be at risk of a Cross-Site Scripting (XSS) attack. This URL is flagged as a specific example.\n\nHowever, this header is deprecated by modern browsers, if legacy browsers support is not needed, it is recommended to use Content-Security-Policy without allowing unsafe-inline scripts instead.",HTTP Security Header,https://<REACTED>-staging1-app.<REACTED>.com/,"https://cloud.tenable.com/was/v2/attachments/4e0402c9-60e4-46b6-959b-eb964dfa0913, https://cloud.tenable.com/was/v2/attachments/e6cf49d3-2c1e-475f-8a17-6dac6455860e"
Permissive Content Security Policy Detected,low,"Content Security Policy (CSP) is a web security standard that helps to mitigate attacks like cross-site scripting (XSS), clickjacking or mixed content issues. CSP provides mechanisms to websites to restrict content that browsers will be allowed to load.

One or several permissive directives have been detected. See output for more details.",HTTP Security Header,https://<REACTED>-staging1-app.<REACTED>.com/,"https://cloud.tenable.com/was/v2/attachments/80615c52-2938-4855-8b1d-b8ca082796c7, https://cloud.tenable.com/was/v2/attachments/eda8415a-2744-4535-8068-decb292191ed"
Security.txt File Not Detected,info,"A Security.txt file has not been detected on the target.

When security risks in web services are discovered by independent security researchers, this file defines the channels to disclose them properly & enables 3rd party researchers to disclose issues securely in a manner defined by the organization.

Organizations should consider creating a security.txt file containing contact and other information in the defined format and place it under the .well-known directory of the server.",Web Servers,https://<REACTED>-staging1-app.<REACTED>.com/,"https://cloud.tenable.com/was/v2/attachments/11194082-9978-497d-b4c6-b4173f6c6ed4, https://cloud.tenable.com/was/v2/attachments/a51019bf-b476-462c-a738-a8838eb11a36"
Interesting Response,info,"The scanner identified some responses with a status code other than the usual 200 (OK), 301 (Moved Permanently), 302 (Found) and 404 (Not Found) codes. These codes can provide useful insights into the behavior of the web application and identify any unexpected responses to be addressed.",Web Applications,https://<REACTED>-staging1-app.<REACTED>.com/jspwebshell12.jsp,"https://cloud.tenable.com/was/v2/attachments/b474dbfe-2bfb-4aa5-b46e-eac44df6f432, https://cloud.tenable.com/was/v2/attachments/f87f0ff6-d6ac-4855-a524-bbb1d37fe1b2"
E-mail Address Disclosure,info,"Email addresses are typically found on ""Contact us"" pages, however, they can also be found within scripts or code comments of the application. They are used to provide a legitimate means of contacting an organisation.

As one of the initial steps in information gathering, cyber-criminals will spider a website and using automated methods collect as many email addresses as possible, that they may then use in a social engineering attack.

Using the same automated methods, scanner was able to detect one or more email addresses that were stored within the affected page.",Data Exposure,https://<REACTED>-staging1-app.<REACTED>.com,https://cloud.tenable.com/was/v2/attachments/160e42ea-9d4d-4df0-962b-dc0938d7e210
SSL/TLS Weak Cipher Suites Supported,low,The remote host supports the use of SSL/TLS ciphers that offer weak encryption (including RC4 and 3DES encryption).,SSL/TLS,https://<REACTED>-staging1-app.<REACTED>.com/,https://cloud.tenable.com/was/v2/attachments/7842b673-f0ff-48a5-a544-a9c757261bf3
Interesting Response,info,"The scanner identified some responses with a status code other than the usual 200 (OK), 301 (Moved Permanently), 302 (Found) and 404 (Not Found) codes. These codes can provide useful insights into the behavior of the web application and identify any unexpected responses to be addressed.",Web Applications,https://<REACTED>-staging1-app.<REACTED>.com/.htpasswd,"https://cloud.tenable.com/was/v2/attachments/c85336a9-6763-4f6f-9960-2cab2d3bfa75, https://cloud.tenable.com/was/v2/attachments/cdbbe223-8142-4e15-a2e9-98874254e53d"
Allowed HTTP Versions,info,"The Hypertext Transfer Protocol (HTTP) is the underlying protocol of the World Wide Web. Since its first release, HTTP has evolved to support modern web usages and currently exists in three versions:
 - HTTP/1.0
 - HTTP/1.1
 - HTTP/2

The scanner identified the supported versions of the HTTP protocol on the target web application.",Web Applications,https://<REACTED>-staging1-app.<REACTED>.com,"https://cloud.tenable.com/was/v2/attachments/8abcc2f0-7b0e-4547-889c-6d710ac4ce6e, https://cloud.tenable.com/was/v2/attachments/1c6903ae-72d3-4984-a47e-41a5a69a6313, https://cloud.tenable.com/was/v2/attachments/274f107e-7bdd-4379-a6c5-e44c7aad5938, https://cloud.tenable.com/was/v2/attachments/8a76ffd7-6046-4141-8a45-b9d9f8c70b51"
